n1,n2,m1,m2,angle
28,29,29,28,2.0100000000000002
32,1,32,-1,3.58
14,15,15,14,3.95
29,1,29,-1,3.95
28,30,30,28,3.95
13,44,16,43,3.95
40,43,43,40,4.14
43,48,48,43,6.29
19,22,22,19,8.370000000000001
4,5,5,4,12.68
9,1,9,-1,12.68
8,10,10,8,12.68
3,14,6,13,12.68
13,6,14,3,12.68
17,2,17,-2,13.42
8,1,8,-1,14.25
7,9,9,7,14.25
16,2,16,-2,14.25
6,17,10,15,14.25
15,10,17,6,14.25
14,18,18,14,14.25
24,3,24,-3,14.25
5,25,11,23,14.25
23,11,25,5,14.25
13,26,19,22,14.25
22,19,26,13,14.25
32,4,32,-4,14.25
4,33,12,31,14.25
31,12,33,4,14.25
21,27,27,21,14.25
12,34,20,30,14.25
30,20,34,12,14.25
20,35,28,29,14.25
29,28,35,20,14.25
40,5,40,-5,14.25
3,41,13,39,14.25
39,13,41,3,14.25
11,42,21,38,14.25
38,21,42,11,14.25
28,36,36,28,14.25
47,6,47,-6,14.55
3,4,4,3,16.26
7,1,7,-1,16.26
6,8,8,6,16.26
2,11,5,10,16.26
10,5,11,2,16.26
14,2,14,-2,16.26
9,12,12,9,16.26
5,15,9,13,16.26
13,9,15,5,16.26
1,18,6,17,16.26
17,6,18,1,16.26
12,16,16,12,16.26
8,19,13,16,16.26
16,13,19,8,16.26
21,3,21,-3,16.26
4,22,10,20,16.26
20,10,22,4,16.26
0,25,7,24,16.26
15,20,20,15,16.26
24,7,25,0,16.26
25,0,24,-7,16.26
11,23,17,19,16.26
19,17,23,11,16.26
7,26,14,23,16.26
23,14,26,7,16.26
11,2,11,-2,20.61
9,13,13,9,20.61
2,3,3,2,22.62
5,1,5,-1,22.62
4,6,6,4,22.62
1,8,4,7,22.62
7,4,8,1,22.62
10,2,10,-2,22.62
6,9,9,6,22.62
3,11,7,9,22.62
9,7,11,3,22.62
0,13,5,12,22.62
12,5,13,0,22.62
13,0,12,-5,22.62
8,12,12,8,22.62
5,14,10,11,22.62
11,10,14,5,22.62
15,3,15,-3,22.62
2,16,8,14,22.62
14,8,16,2,22.62
10,15,15,10,22.62
17,6,18,-1,22.62
18,1,17,-6,22.62
7,17,13,13,22.62
13,13,17,7,22.62
4,19,11,16,22.62
16,11,19,4,22.62
30,47,47,30,24.900000000000002
35,8,35,-8,25.75
27,43,43,27,25.75
23,38,38,23,27.63
