n1,n2,m1,m2,norm_m1m2,err_m1,err_m2,delvec,angle
28,29,29,28,40.311288741492746,0.00008406032281271791,0.00008706221566612271,0.00048291776970934517,2.0100000000000002
32,1,32,-1,32.01562118716424,3.120516648635885e-6,0.00009985154266556329,0.0003986400338995218,3.58
14,15,15,14,20.518284528683193,0.00003224832684445289,0.00003455185854051024,0.0001885970484053195,3.95
29,1,29,-1,29.017236257093817,2.3035317013864187e-6,0.00006680018538651744,0.0002667165036774503,3.95
28,30,30,28,41.036569057366385,0.00006449665368890578,0.00006910371708102048,0.000377194096810639,3.95
13,44,16,43,45.880278987817846,0.00009904851222941602,0.0000368553902276858,0.00042171582059011276,3.95
40,43,43,40,58.728187440104094,0.00004279974404397535,0.00004600967548640256,0.0002507504289061747,4.14
43,48,48,43,64.4437739428721,0.00006384471892317833,0.00007126862990247673,0.0003818141381814042,6.29
19,22,22,19,29.068883707497267,0.00005562783375623326,0.0000644113665444479,0.0003396110357989828,8.370000000000001
4,5,5,4,6.4031242374328485,0.000026772891638771057,0.00003346588495301006,0.00017101710765533363,12.68
9,1,9,-1,9.055385138137417,6.6929933151271825e-6,0.00006023877659200316,0.00024185471304154042,12.68
8,10,10,8,12.806248474865697,0.000053545783277542114,0.00006693176990602012,0.00034203421531066726,12.68
3,14,6,13,14.317821063276353,0.000087011668229664,0.00004015887826902542,0.00038240587802887963,12.68
13,6,14,3,14.317821063276353,0.000020079898321867518,0.00009370466154567936,0.00038240587802937587,12.68
17,2,17,-2,17.11724276862369,0.000011393243646296014,0.0000968401940264485,0.0003890942759527605,13.42
8,1,8,-1,8.06225774829855,5.706830279450514e-7,4.565474809870018e-6,0.000018359750851698466,14.25
7,9,9,7,11.40175425099138,3.994791780925766e-6,5.136157838592226e-6,0.00002596460865190064,14.25
16,2,16,-2,16.1245154965971,1.1413660558901029e-6,9.130949619740036e-6,0.00003671950170339693,14.25
6,17,10,15,18.027756377319946,8.56026659157294e-6,5.706840866537277e-6,0.000041053650955539846,14.25
15,10,17,6,18.027756377319946,3.4241087512043578e-6,9.7016326492394e-6,0.000041053650953372085,14.25
14,18,18,14,22.80350850198276,7.989583561851532e-6,0.000010272315677184451,0.00005192921730380128,14.25
24,3,24,-3,24.186773244895647,1.7120490838351543e-6,0.000013696424429721077,0.00005507925255553606,14.25
5,25,11,23,25.495097567963924,0.000013125741400443758,6.277523894482329e-6,0.00005805862996318994,14.25
23,11,25,5,25.495097567963924,2.85342572681202e-6,0.000014267107458110218,0.00005805862996430473,14.25
13,26,19,22,29.068883707497267,0.00001255505837605142,0.000010842998705129503,0.00006619702309895363,14.25
22,19,26,13,29.068883707497267,7.418900533906481e-6,0.000014837790486055269,0.00006619702309406495,14.25
32,4,32,-4,32.2490309931942,2.2827321117802057e-6,0.000018261899239480073,0.00007343900340679386,14.25
4,33,12,31,33.24154027718932,0.000017691216211090932,6.848206925980094e-6,0.00007569919202291253,14.25
31,12,33,4,33.24154027718932,2.282742691761541e-6,0.000018832582267869213,0.00007569919202211095,14.25
21,27,27,21,34.20526275297414,0.000011984375344553655,0.000015408473515776677,0.00007789382597439754,14.25
12,34,20,30,36.05551275463989,0.00001712053318314588,0.000011413681733074554,0.00008210730191107969,14.25
30,20,34,12,36.05551275463989,6.8482175024087155e-6,0.0000194032652984788,0.00008210730190674417,14.25
20,35,28,29,40.311288741492746,0.000016549850151648116,0.00001597915654372173,0.00009179875425628902,14.25
29,28,35,20,40.311288741492746,0.000011413692320161317,0.00001997394832642385,0.00009179875425840419,14.25
40,5,40,-5,40.311288741492746,2.8534151468306845e-6,0.000022827374049683158,0.0000917987542545264,14.25
3,41,13,39,41.10960958218893,0.000022256691021738106,7.4188899503724315e-6,0.00009361672785677765,14.25
39,13,41,3,41.10960958218893,1.7120596709219171e-6,0.0000233980570780723,0.00009361672786200608,14.25
11,42,21,38,43.41658669218482,0.000021686007993793055,0.000011984364761019606,0.000098870284156861,14.25
38,21,42,11,43.41658669218482,6.277534474463664e-6,0.000023968740107349618,0.00009887028416602577,14.25
28,36,36,28,45.60701700396552,0.000015979167123703064,0.000020544631354368903,0.00010385843460760256,14.25
47,6,47,-6,47.38143096192854,1.0383771851252277e-6,8.13396028931379e-6,0.0000327209959601573,14.55
3,4,4,3,5.0,0.000010718527679642875,0.000014291317051995378,0.00007128481151295325,16.26
7,1,7,-1,7.0710678118654755,3.5727893719084136e-6,0.000025009844731194164,0.00010081194723351906,16.26
6,8,8,6,10.0,0.00002143705535928575,0.000028582634103990756,0.0001425696230259065,16.26
2,11,5,10,11.180339887498949,0.00003572837241083704,0.000017864106423459702,0.0001593976843055081,16.26
10,5,11,2,11.180339887498949,7.145738306846283e-6,0.00003930116178318954,0.0001593976843062231,16.26
14,2,14,-2,14.142135623730951,7.145578743816827e-6,0.00005001968946238833,0.00020162389446703812,16.26
9,12,12,9,15.0,0.000032155583038928626,0.000042873951155542045,0.00021385443454312298,16.26
5,15,9,13,15.811388300841896,0.000046446900089591736,0.00003215542347412281,0.00022542236695223186,16.26
13,9,15,5,15.811388300841896,0.000017864265988265515,0.00005359247883518492,0.0002254223669612196,16.26
1,18,6,17,18.027756377319946,0.0000607382171420312,0.000021436895796256294,0.0002570210430728718,16.26
17,6,18,1,18.027756377319946,3.572948937602405e-6,0.0000643110065143837,0.00025702104307114747,16.26
12,16,16,12,20.0,0.0000428741107185715,0.00005716526820798151,0.000285139246051813,16.26
8,19,13,16,20.615528128088304,0.00005716542776923461,0.00004644674052656228,0.0002939148073699798,16.26
16,13,19,8,20.615528128088304,0.000028582793664355677,0.00006788379588584803,0.00029391480737153073,16.26
21,3,21,-3,21.213203435596427,0.00001071836811661342,0.00007502953419358249,0.00030243584169999197,16.26
4,22,10,20,22.360679774997898,0.00007145674482167408,0.000035728212846919405,0.0003187953686110162,16.26
20,10,22,4,22.360679774997898,0.000014291476613692566,0.00007860232356637908,0.0003187953686124462,16.26
0,25,7,24,25.0,0.00008574806187411355,0.00002500968516727653,0.0003564240575665426,16.26
15,20,20,15,25.0,0.000053592638398214376,0.00007145658526042098,0.0003564240575661873,16.26
24,7,25,0,25.0,1.595630294559669e-10,0.00008932085124566314,0.00035642405756448203,16.26
25,0,24,-7,25.0,0.00002500968516727653,0.00008574806187411355,0.00035642405756476626,16.26
11,23,17,19,25.495097567963924,0.0000678839554524302,0.00006073805757722539,0.00036348264492510257,16.26
19,17,23,11,25.495097567963924,0.000039301321347551266,0.00008217511294006385,0.0003634826449351357,16.26
7,26,14,23,26.92582403567252,0.00008217527250131695,0.00005001952990113523,0.000383880458243564,16.26
23,14,26,7,26.92582403567252,0.000025010004296888155,0.00009289364061881855,0.0003838804582541195,16.26
11,2,11,-2,11.180339887498949,0.000010718660117703394,0.000058951733100442993,0.00023909652646203586,20.61
9,13,13,9,15.811388300841896,0.0000482330729827396,0.00006967039321814639,0.0003381335504389087,20.61
2,3,3,2,3.605551275463989,4.714194377530845e-6,7.071309623407629e-6,0.000033912834497958586,22.62
5,1,5,-1,5.0990195135927845,2.3571152460988287e-6,0.000011785504001382563,0.00004795999048700778,22.62
4,6,6,4,7.211102550927978,9.42838875506169e-6,0.000014142619246815258,0.00006782566899591717,22.62
1,8,4,7,8.06225774829855,0.000016499698378247274,9.428424869284413e-6,0.00007583140324790649,22.62
7,4,8,1,8.06225774829855,2.357079130987927e-6,0.000018856813624457125,0.00007583140324856749,22.62
10,2,10,-2,10.198039027185569,4.7142304921976574e-6,0.000023571008002765126,0.00009591998097401556,22.62
6,9,9,6,10.816653826391969,0.000014142583133036624,0.000021213928869556753,0.00010173850349806345,22.62
3,11,7,9,11.40175425099138,0.000021213892757110386,0.000016499734492469997,0.00010724179893008847,22.62
9,7,11,3,11.40175425099138,7.071273509851039e-6,0.000025928123247531687,0.0001072417989238566,22.62
0,13,5,12,13.0,0.00002828520238029597,0.000011785540115383242,0.00012227446368182236,22.62
12,5,13,0,13.0,3.611333454500709e-11,0.00003064231762548407,0.00012227446368001186,22.62
13,0,12,-5,13.0,0.000011785540117159599,0.00002828520238029597,0.0001222744636804901,22.62
8,12,12,8,14.422205101855956,0.00001885677751012338,0.000028285238493630516,0.00013565133799183434,22.62
5,14,10,11,14.866068747318506,0.000025928087133308964,0.00002357104411565558,0.0001398261987024597,22.62
11,10,14,5,14.866068747318506,0.000011785467886937795,0.00003299943286982909,0.0001398261987024597,22.62
15,3,15,-3,15.297058540778355,7.071345740072843e-6,0.000035356512003037466,0.00014387997145832345,22.62
2,16,8,14,16.1245154965971,0.00003299939675649455,0.000018856849738568826,0.00015166280649581298,22.62
14,8,16,2,16.1245154965971,4.714158261975854e-6,0.00003771362724891425,0.00015166280649713497,22.62
10,15,15,10,18.027756377319946,0.00002357097188898649,0.00003535654811770428,0.00016956417249644397,22.62
17,6,18,-1,18.027756377319946,2.3571513594333737e-6,0.000042427821626889184,0.00016956417249230555,22.62
18,1,17,-6,18.027756377319946,0.000014142655363258427,0.00004007070638145649,0.00016956417249334015,22.62
7,17,13,13,18.384776310850235,0.000030642281512172076,0.00003064235373706481,0.00017292220486681649,22.62
13,13,17,7,18.384776310850235,0.000016499662262248194,0.000040070742494791034,0.0001729222048701016,22.62
4,19,11,16,19.4164878389476,0.00003771359113535766,0.000025928159363530767,0.00018262620285448437,22.62
16,11,19,4,19.4164878389476,9.428352637286253e-6,0.00004478493687276597,0.00018262620285347802,22.62
30,47,47,30,55.758407437802596,3.6570160233395654e-6,5.729325874170854e-6,0.00002712252809758705,24.900000000000002
35,8,35,-8,35.90264614203248,4.355259122235111e-7,1.905426104897856e-6,7.799462588144482e-6,25.75
27,43,43,27,50.774009099144415,1.469900190897988e-6,2.3409520224504377e-6,0.000011030105769556241,25.75
23,38,38,23,44.41846462902562,0.000020345283644473966,0.000033613913331009826,0.0001567881713517832,27.63
